metric,winner,value,lower_is_better
feasible_utility,qsar_svm,81.3823,False
raw_feasible_utility,llm_validator__openai_frontier_selector,76.758,False
ndcg_at_k,qsar_svm,0.9095927114580383,False
raw_ndcg_at_k,llm_validator__openai_frontier_selector,0.8676406104713894,False
compliance_rate,qsar_svm,1.0,False
raw_compliance_rate,llm_validator__openai_frontier_selector,0.976,False
constrained_regret,qsar_svm,7.639400000000001,True
schema_error_rate,qsar_svm,0.0,True
raw_schema_error_rate,llm_validator__openai_frontier_selector,0.0,True
